Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,107.00,109.85,97.00,103.10,101.989324287246514180,40091,465,4088854.00,26685,66.56,12.85,-3.90
4-January-2021,96.00,108.70,95.10,103.50,101.408698095670406156,231315,2036,23457353.00,153432,66.33,13.60,7.50
1-January-2021,90.40,94.85,88.20,94.05,92.758674435002041043,107788,826,9998272.00,62143,57.65,6.65,3.65
31-December-2020,84.45,89.00,81.70,88.50,85.915981111342104481,67342,279,5785754.00,46403,68.91,7.30,4.05
30-December-2020,83.75,84.50,81.60,82.80,82.961906388793987017,5854,71,485659.00,4774,81.55,2.90,-0.95
29-December-2020,87.50,89.00,83.65,84.05,85.868931107273076184,15633,154,1342389.00,8018,51.29,5.35,-3.45
28-December-2020,84.00,86.40,78.70,85.30,84.325301204819277108,36437,317,3072561.00,18278,50.16,7.70,1.30
24-December-2020,80.25,83.00,80.25,80.80,81.785518710069972619,3287,70,268829.00,1973,60.02,2.75,0.55
23-December-2020,80.80,82.80,77.00,81.90,80.685734016228347816,17377,130,1402076.00,14451,83.16,5.80,1.10
22-December-2020,76.25,79.90,74.10,78.60,76.823898333058260439,12118,135,930952.00,8030,66.26,5.80,2.35
21-December-2020,85.00,87.40,69.50,79.20,81.270586324508689296,18471,146,1501149.00,12176,65.92,17.90,-5.80
18-December-2020,84.10,87.80,82.10,84.70,84.094292359992843084,5589,93,470003.00,4103,73.41,5.70,0.60
17-December-2020,87.45,88.75,84.00,84.40,85.466798484099522161,12138,162,1037396.00,9230,76.04,4.75,-3.05
16-December-2020,86.00,89.85,86.00,87.45,88.280135148564046507,30189,423,2665089.00,21385,70.84,3.85,1.45
15-December-2020,81.90,86.90,79.10,85.75,84.214292357773988528,32255,294,2716332.00,19440,60.27,7.80,3.85
14-December-2020,79.05,81.00,79.05,80.30,79.555434103685196752,6404,69,509473.00,4529,70.72,1.95,1.25
11-December-2020,79.45,81.35,78.20,79.00,79.608026874115983026,5656,65,450263.00,4762,84.19,3.15,-0.45
10-December-2020,82.00,82.00,78.30,79.40,79.918400000000000000,3750,39,299694.00,3550,94.67,3.70,-2.60
9-December-2020,80.80,83.70,80.00,80.10,81.293407613741875580,9693,104,787977.00,7395,76.29,3.70,-0.70
8-December-2020,81.00,83.00,79.00,80.60,80.561598224195338512,6307,75,508102.00,5141,81.51,4.00,-0.40
7-December-2020,83.00,83.00,80.00,80.30,80.665676416819012797,8752,70,705986.00,4563,52.14,3.00,-2.70
4-December-2020,83.90,85.45,80.50,80.70,82.896490184414039262,15129,146,1254141.00,12069,79.77,4.95,-3.20
3-December-2020,83.85,83.85,80.50,83.00,82.170932678821879382,11408,121,937406.00,8037,70.45,3.35,-0.85
2-December-2020,83.90,83.90,78.70,80.95,81.412972085385878489,12180,151,991610.00,9867,81.01,5.20,-2.95
1-December-2020,77.00,81.90,77.00,79.60,79.422679685572279600,28369,250,2253142.00,22497,79.30,4.90,2.60
27-November-2020,77.40,77.40,74.50,75.50,75.719046193754364960,10023,90,758932.00,8134,81.15,2.90,-1.90
26-November-2020,77.00,77.00,74.05,76.40,75.670489296636085626,3924,33,296931.00,3159,80.50,2.95,-0.60
25-November-2020,77.50,77.50,73.00,74.40,74.763877860391250992,13853,113,1035704.00,11139,80.41,4.50,-3.10
24-November-2020,79.70,79.70,75.80,77.75,77.736066844689465070,11609,109,902438.00,8443,72.73,3.90,-1.95
23-November-2020,75.00,78.00,74.10,76.55,76.355749541976506089,37116,274,2834020.00,24089,64.90,3.90,1.55
20-November-2020,73.00,74.00,71.65,73.70,73.093151815181518151,12120,86,885889.00,7738,63.84,2.35,0.70
19-November-2020,72.50,74.90,71.20,72.20,72.318084250067078078,7454,71,539059.00,6213,83.35,3.70,-0.30
18-November-2020,71.30,73.55,70.65,73.15,71.938193343898573692,8834,94,635502.00,5034,56.98,2.90,1.85
17-November-2020,72.00,73.05,70.40,71.15,71.515779981965734896,17744,82,1268976.00,15121,85.22,2.65,-0.85
14-November-2020,75.50,75.50,71.55,72.60,72.700042789901583226,4674,52,339800.00,4176,89.35,3.95,-2.90
13-November-2020,72.00,74.60,71.50,72.05,72.274161735700197238,6591,65,476359.00,5014,76.07,3.10,0.05
12-November-2020,70.80,73.80,70.80,71.95,71.953746740732343271,8821,74,634704.00,7459,84.56,3.00,1.15
11-November-2020,72.85,74.30,70.20,73.00,72.419849874895746455,5995,62,434157.00,3593,59.93,4.10,0.15
10-November-2020,76.05,79.00,72.00,72.85,75.593104799216454456,25525,278,1929514.00,19050,74.63,7.00,-3.20
9-November-2020,69.90,77.75,67.00,75.05,72.736363423541530105,85432,479,6214013.00,57332,67.11,10.75,5.15
6-November-2020,68.00,68.00,64.55,65.20,65.391978609625668449,3740,50,244566.00,3095,82.75,3.45,-2.80
5-November-2020,68.00,68.00,62.20,65.90,65.911781818181818181,13750,100,906287.00,9154,66.57,5.80,-2.10
4-November-2020,67.00,67.05,65.00,66.10,66.424421243758511121,2203,18,146333.00,2102,95.42,2.05,-0.90
3-November-2020,68.00,68.35,66.30,67.45,67.422326500370461842,8098,61,545986.00,6972,86.10,2.05,-0.55
2-November-2020,68.90,68.90,65.15,65.65,65.940002830055186076,7067,58,465998.00,5715,80.87,3.75,-3.25
30-October-2020,66.90,68.90,64.35,68.60,66.641299409359382099,8804,63,586710.00,7749,88.02,4.55,1.70
29-October-2020,67.95,68.00,64.10,65.90,65.054368367495275476,6879,59,447509.00,4998,72.66,3.90,-2.05
28-October-2020,65.00,65.00,63.25,64.10,63.958788792561879633,7959,45,509048.00,5667,71.20,1.75,-0.90
27-October-2020,67.90,68.45,64.05,65.95,66.056663376110562685,5065,45,334577.00,3835,75.72,4.40,-1.95
26-October-2020,69.00,72.75,65.00,65.10,66.411796832332058984,10986,110,729600.00,8017,72.97,7.75,-3.90
23-October-2020,65.75,72.85,65.60,68.20,69.177397974513512080,56579,553,3913988.00,32342,57.16,7.25,2.45
22-October-2020,70.00,70.00,64.55,65.35,67.399584130416701322,60115,486,4051726.00,30899,51.40,5.45,-4.65
21-October-2020,62.00,68.70,62.00,67.60,66.090303623898139079,51050,376,3373910.00,34550,67.68,6.70,5.60
20-October-2020,59.05,62.00,55.00,61.85,60.154829074012612014,6026,48,362493.00,4684,77.73,7.00,2.80
19-October-2020,61.55,61.95,58.20,61.40,60.919387075283144570,3002,35,182880.00,1920,63.96,3.75,-0.15
16-October-2020,60.90,60.90,58.00,60.15,59.793209876543209876,648,16,38746.00,374,57.72,2.90,-0.75
15-October-2020,60.75,60.75,58.05,59.35,58.674486803519061583,2046,39,120048.00,1510,73.80,2.70,-1.40
14-October-2020,58.50,61.75,58.00,58.40,58.853731343283582089,1005,17,59148.00,578,57.51,3.75,-0.10
13-October-2020,61.50,61.75,58.70,59.50,60.031353135313531353,606,15,36379.00,441,72.77,3.05,-2.00
12-October-2020,53.50,63.00,53.50,61.15,61.237282106012095339,2811,40,172138.00,1644,58.48,9.50,7.65
9-October-2020,62.80,64.65,61.15,62.85,63.090909090909090909,5984,88,377536.00,3511,58.67,3.50,0.05
8-October-2020,64.70,64.70,61.75,63.20,63.153974695631415612,4189,75,264552.00,3175,75.79,2.95,-1.50
7-October-2020,69.95,71.00,62.50,64.70,66.175491250920210657,35318,335,2337186.00,19159,54.25,8.50,-5.25
6-October-2020,60.90,64.80,59.75,60.40,63.014934693240360097,19217,222,1210958.00,15324,79.74,5.05,-0.50
5-October-2020,58.15,60.00,58.15,58.30,58.713032581453634085,6384,34,374824.00,5391,84.45,1.85,0.15
1-October-2020,60.95,62.00,59.15,59.55,60.227046735167384819,12068,55,726820.00,7593,62.92,2.85,-1.40
30-September-2020,61.45,61.45,58.15,58.80,60.177404509894155545,4346,41,261531.00,3151,72.50,3.30,-2.65
29-September-2020,61.00,62.90,59.00,61.45,60.529214986619090098,13452,76,814239.00,9705,72.15,3.90,0.45
28-September-2020,58.00,62.00,56.35,60.20,59.278623471246422066,15372,82,911231.00,10816,70.36,5.65,2.20
25-September-2020,54.00,55.95,53.60,55.90,54.899838449111470113,1857,28,101949.00,1167,62.84,2.35,1.90
24-September-2020,57.40,57.95,54.05,54.55,54.892004877199094234,5741,45,315135.00,4558,79.39,3.90,-2.85
23-September-2020,59.45,59.45,56.00,56.65,56.083971184151283205,4442,24,249125.00,3912,88.07,3.45,-2.80
22-September-2020,58.75,58.75,54.30,56.00,55.737401756819232547,2163,29,120560.00,1646,76.10,4.45,-2.75
21-September-2020,59.45,60.50,57.20,58.90,58.772969298742494618,8827,86,518789.00,6337,71.79,3.30,-0.55
18-September-2020,55.75,60.10,55.65,59.45,58.429523640241734802,11252,63,657449.00,9689,86.11,4.45,3.70
17-September-2020,59.50,59.50,55.30,56.75,56.762858129099068001,2897,38,164442.00,1987,68.59,4.20,-2.75
16-September-2020,57.00,57.50,55.40,56.60,56.442946623093681917,7344,60,414517.00,5571,75.86,2.10,-0.40
15-September-2020,60.75,60.75,55.80,56.30,57.887569573283858998,2695,42,156007.00,2284,84.75,4.95,-4.45
14-September-2020,57.00,59.00,56.55,57.35,58.120674925245621529,4682,36,272121.00,3332,71.17,2.45,0.35
11-September-2020,55.20,57.55,55.20,56.90,56.831442463533225283,1851,19,105195.00,1098,59.32,2.35,1.70
10-September-2020,58.80,58.80,55.75,56.25,56.243902439024390243,3198,26,179868.00,2638,82.49,3.05,-2.55
9-September-2020,59.70,59.70,54.35,55.25,55.649674620390455531,1844,26,102618.00,1293,70.12,5.35,-4.45
8-September-2020,55.10,56.95,55.10,56.15,55.546479361775927852,5766,47,320281.00,4814,83.49,1.85,1.05
7-September-2020,55.55,58.50,55.55,56.10,56.641680715860459084,7711,56,436764.00,5373,69.68,2.95,0.55
4-September-2020,59.00,59.00,55.65,57.00,57.118629173989455184,2276,27,130002.00,1955,85.90,3.35,-2.00
3-September-2020,57.70,57.90,55.85,56.20,56.533261416756562387,2781,46,157219.00,1701,61.16,2.05,-1.50
2-September-2020,58.00,58.00,54.10,57.10,56.735718099305926321,1873,37,106266.00,1639,87.51,3.90,-0.90
1-September-2020,57.00,57.00,54.95,56.10,55.678847296494355317,3366,40,187415.00,2632,78.19,2.05,-0.90
31-August-2020,61.00,62.20,55.10,56.60,57.891814656052255562,14697,126,850836.00,10414,70.86,7.10,-4.40
28-August-2020,60.90,61.90,60.90,61.15,61.154798761609907120,6137,58,375307.00,4971,81.00,1.00,0.25
27-August-2020,62.40,62.40,60.75,60.85,61.283770161290322580,5952,62,364761.00,5585,93.83,1.65,-1.55
26-August-2020,62.90,62.90,61.00,61.60,62.175992641422658286,6523,58,405574.00,5213,79.92,1.90,-1.30
25-August-2020,66.15,66.15,61.00,62.25,63.124419521598177516,11413,131,720439.00,6038,52.90,5.15,-3.90
24-August-2020,66.00,67.00,63.00,64.10,65.131684963238996877,19858,186,1293385.00,13994,70.47,4.00,-1.90
21-August-2020,61.00,67.70,59.10,65.35,64.247563119685208883,83611,516,5371803.00,41319,49.42,8.60,4.35
20-August-2020,60.10,62.40,59.10,59.70,60.654361026773392216,14492,146,879003.00,11748,81.07,3.30,-0.40
19-August-2020,60.00,62.85,59.00,60.70,61.046493171522105750,30241,296,1846107.00,20322,67.20,3.85,0.70
18-August-2020,59.00,59.25,56.00,58.00,58.094074788385299474,9333,57,542192.00,7502,80.38,3.25,-1.00
17-August-2020,58.00,58.65,57.05,57.65,58.209187547456340167,5268,49,306646.00,3205,60.84,1.60,-0.35
