Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,33.50,35.45,33.50,35.30,34.974165769644779332,3716,32,129964.00,3716,100.00,1.95,1.80
4-January-2021,33.00,35.00,33.00,34.80,34.739243807040417209,7670,39,266450.00,7670,100.00,2.00,1.80
1-January-2021,33.00,35.55,33.00,34.20,34.031925849639546858,971,9,33045.00,971,100.00,2.55,1.20
31-December-2020,33.90,33.90,32.35,33.90,33.133387227162489894,1237,15,40986.00,1237,100.00,1.55,0.00
30-December-2020,33.00,34.20,32.25,32.30,33.428959276018099547,1105,7,36939.00,1105,100.00,1.95,-0.70
29-December-2020,33.50,33.50,32.65,33.35,33.142857142857142857,7,3,232.00,7,100.00,0.85,-0.15
28-December-2020,32.00,32.05,32.00,32.05,32.006756756756756756,296,5,9474.00,296,100.00,0.05,0.05
24-December-2020,33.90,33.90,32.00,32.20,32.390625000000000000,128,4,4146.00,128,100.00,1.90,-1.70
23-December-2020,31.05,32.60,31.05,32.60,31.873780091086532205,1537,11,48990.00,1537,100.00,1.55,1.55
22-December-2020,33.35,33.35,30.65,31.05,31.035196687370600414,966,13,29980.00,966,100.00,2.70,-2.30
21-December-2020,32.10,34.30,32.00,32.20,32.471031559114460668,2123,21,68936.00,2123,100.00,2.30,0.10
18-December-2020,34.50,34.50,32.75,32.75,33.222222222222222222,450,4,14950.00,450,100.00,1.75,-1.75
17-December-2020,34.00,34.65,33.60,33.65,34.034722222222222222,1008,13,34307.00,1008,100.00,1.05,-0.35
16-December-2020,33.05,33.90,32.60,33.00,33.142000000000000000,1000,10,33142.00,1000,100.00,1.30,-0.05
15-December-2020,31.80,33.90,31.80,32.55,32.507024265644955300,783,8,25453.00,783,100.00,2.10,0.75
14-December-2020,33.30,34.80,32.20,32.55,32.469713358572201189,3698,15,120073.00,3698,100.00,2.60,-0.75
11-December-2020,33.40,34.45,33.00,33.50,33.444061962134251290,2905,20,97155.00,2905,100.00,1.45,0.10
9-December-2020,33.35,34.80,33.05,33.05,34.505696202531645569,3160,14,109038.00,3160,100.00,1.75,-0.30
8-December-2020,34.00,34.30,33.15,33.15,33.896078431372549019,1530,8,51861.00,1530,100.00,1.15,-0.85
7-December-2020,33.00,34.00,33.00,33.00,33.194216047632548908,3527,15,117076.00,3527,100.00,1.00,0.00
4-December-2020,33.70,33.70,32.15,33.05,33.343935538592027141,2358,18,78625.00,2358,100.00,1.55,-0.65
3-December-2020,31.00,32.65,31.00,32.10,32.158192090395480225,885,8,28460.00,885,100.00,1.65,1.10
2-December-2020,30.20,31.65,30.20,31.10,31.186149936467598475,3148,27,98174.00,3148,100.00,1.45,0.90
1-December-2020,30.75,31.00,30.00,30.15,30.754807692307692307,5200,36,159925.00,5200,100.00,1.00,-0.60
27-November-2020,29.15,30.60,29.15,29.55,29.636541279921836834,2047,12,60666.00,2047,100.00,1.45,0.40
26-November-2020,29.95,29.95,28.90,29.20,29.526178010471204188,1146,11,33837.00,1146,100.00,1.05,-0.75
25-November-2020,30.25,30.25,28.75,29.15,29.221974095578383206,2239,27,65428.00,2239,100.00,1.50,-1.10
24-November-2020,29.00,30.40,29.00,30.10,30.157227387996618765,1183,9,35676.00,1183,100.00,1.40,1.10
23-November-2020,29.60,30.60,29.30,29.50,30.163824433883142298,3577,21,107896.00,3577,100.00,1.30,-0.10
20-November-2020,30.00,31.35,29.40,29.45,30.319414316702819956,3688,12,111818.00,3688,100.00,1.95,-0.55
19-November-2020,29.80,31.20,29.80,30.30,30.109285127362366474,1217,7,36643.00,1217,100.00,1.40,0.50
18-November-2020,30.90,31.85,30.60,30.80,31.175380228136882129,2104,35,65593.00,2104,100.00,1.25,-0.10
17-November-2020,31.10,32.50,29.50,32.20,31.611469072164948453,7760,46,245305.00,7760,100.00,3.00,1.10
14-November-2020,29.85,31.05,29.35,31.00,30.851901090135602233,3761,28,116034.00,3761,100.00,1.70,1.15
13-November-2020,29.00,29.80,28.70,29.60,29.607856650585802894,1451,9,42961.00,1451,100.00,1.10,0.60
12-November-2020,29.55,29.55,27.70,29.00,28.545887961859356376,839,14,23950.00,839,100.00,1.85,-0.55
11-November-2020,30.95,30.95,28.70,28.80,28.992165242165242165,2808,27,81410.00,2808,100.00,2.25,-2.15
10-November-2020,32.50,32.50,29.50,30.10,30.086464646464646464,2475,40,74464.00,2475,100.00,3.00,-2.40
9-November-2020,30.15,32.10,29.65,31.05,31.083920563741191543,1561,56,48522.00,1198,76.75,2.45,0.90
6-November-2020,30.90,30.90,30.00,30.05,30.685185185185185185,1350,83,41425.00,625,46.30,0.90,-0.85
5-November-2020,30.50,31.20,30.50,30.95,30.769696969696969696,165,8,5077.00,111,67.27,0.70,0.45
4-November-2020,31.05,31.45,30.10,30.65,30.799283154121863799,3069,52,94523.00,1507,49.10,1.35,-0.40
3-November-2020,33.05,33.05,30.50,31.05,31.571076923076923076,1625,66,51303.00,1325,81.54,2.55,-2.00
2-November-2020,32.05,32.80,31.35,32.80,31.889171511627906976,2752,49,87759.00,2462,89.46,1.45,0.75
30-October-2020,33.90,34.25,32.20,33.20,33.537264150943396226,2120,62,71099.00,785,37.03,2.05,-0.70
29-October-2020,33.10,33.10,31.40,31.50,31.946699266503667481,2045,45,65331.00,1650,80.68,1.70,-1.60
28-October-2020,34.20,34.30,33.05,33.10,33.435102469784550709,3806,54,127254.00,2925,76.85,1.25,-1.10
27-October-2020,35.60,36.50,34.20,34.25,34.842443018366895330,4519,54,157453.00,3606,79.80,2.30,-1.35
26-October-2020,35.80,37.85,33.80,35.25,35.834209949594564979,9126,147,327023.00,6019,65.95,4.05,-0.55
23-October-2020,38.70,40.70,34.10,35.05,35.637719969395562356,13070,310,465785.00,5393,41.26,6.60,-3.65
22-October-2020,39.75,41.50,37.35,37.35,38.228273098017156518,56888,798,2174730.00,18543,32.60,4.15,-2.40
21-October-2020,38.90,41.80,38.30,41.45,40.293051937539552886,67947,1003,2737792.00,29522,43.45,3.50,2.55
