Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,23.60,23.60,23.15,23.15,23.172443303380402225,2337,13,54154.00,2337,100.00,0.45,-0.45
4-January-2021,24.45,24.45,23.55,23.60,23.736929505035354617,18668,48,443121.00,18668,100.00,0.90,-0.85
1-January-2021,24.80,24.80,24.00,24.00,24.748652118100128369,3895,16,96396.00,3895,100.00,0.80,-0.80
31-December-2020,24.33,24.33,24.33,24.33,24.330000000000000000,9600,19,233568.00,9600,100.00,0.00,0.00
30-December-2020,23.86,23.86,23.86,23.86,23.859917355371900826,4840,12,115482.00,4840,100.00,0.00,0.00
29-December-2020,23.40,23.40,22.95,23.40,23.367457545465494399,8303,20,194020.00,8303,100.00,0.45,0.00
28-December-2020,22.95,22.95,22.95,22.95,22.949856949254630326,6641,13,152410.00,6641,100.00,0.00,0.00
24-December-2020,22.95,22.95,22.50,22.50,22.846153846153846153,65,4,1485.00,65,100.00,0.45,-0.45
23-December-2020,22.01,22.50,22.01,22.50,22.332412523020257826,4344,15,97012.00,4344,100.00,0.49,0.49
22-December-2020,22.25,22.45,21.82,22.45,21.920755968169761273,6032,21,132226.00,6032,100.00,0.63,0.20
21-December-2020,22.30,22.30,22.00,22.26,22.292564280750521195,8634,32,192474.00,8634,100.00,0.30,-0.04
18-December-2020,21.87,21.87,21.50,21.87,21.864507813758659577,12414,26,271426.00,12414,100.00,0.37,0.00
17-December-2020,21.45,21.45,21.45,21.45,21.449855351976856316,6222,31,133461.00,6222,100.00,0.00,0.00
16-December-2020,21.03,21.03,21.03,21.03,21.029532403609515996,1219,3,25635.00,1219,100.00,0.00,0.00
15-December-2020,20.62,20.62,20.62,20.62,20.619837114601512507,3438,19,70891.00,3438,100.00,0.00,0.00
14-December-2020,20.22,20.22,20.22,20.22,20.219791666666666666,3840,12,77644.00,3840,100.00,0.00,0.00
11-December-2020,19.83,19.83,19.83,19.83,19.829511465603190428,1003,3,19889.00,1003,100.00,0.00,0.00
10-December-2020,19.45,19.45,19.07,19.45,19.402301522724630942,8603,18,166918.00,8603,100.00,0.38,0.00
9-December-2020,19.07,19.07,18.33,19.07,19.000333472280116715,11995,33,227909.00,11995,100.00,0.74,0.00
8-December-2020,18.70,18.70,18.70,18.70,18.699702254359846873,2351,7,43963.00,2351,100.00,0.00,0.00
7-December-2020,18.34,18.34,18.34,18.34,18.339974699557242251,3162,10,57991.00,3162,100.00,0.00,0.00
4-December-2020,17.99,17.99,17.99,17.99,17.989464442493415276,1139,6,20490.00,1139,100.00,0.00,0.00
3-December-2020,17.64,17.64,17.64,17.64,17.640000000000000000,4525,8,79821.00,4525,100.00,0.00,0.00
2-December-2020,17.30,17.30,16.75,17.30,17.249412216304399980,20841,33,359495.00,20841,100.00,0.55,0.00
1-December-2020,16.97,16.97,15.39,16.97,16.953702176781002638,24256,32,411229.00,24256,100.00,1.58,0.00
27-November-2020,16.17,16.17,16.17,16.17,16.169614512471655328,2205,4,35654.00,2205,100.00,0.00,0.00
26-November-2020,15.40,15.40,15.40,15.40,15.399922869263401465,2593,7,39932.00,2593,100.00,0.00,0.00
25-November-2020,14.67,14.67,14.67,14.67,14.669783096484667165,2674,7,39227.00,2674,100.00,0.00,0.00
24-November-2020,13.98,13.98,13.98,13.98,13.973684210526315789,114,3,1593.00,114,100.00,0.00,0.00
23-November-2020,13.32,13.32,13.32,13.32,13.320000000000000000,1700,6,22644.00,1700,100.00,0.00,0.00
20-November-2020,12.69,12.69,12.69,12.69,12.690000000000000000,500,2,6345.00,500,100.00,0.00,0.00
19-November-2020,12.09,12.09,12.09,12.09,12.089408528198074277,727,5,8789.00,727,100.00,0.00,0.00
18-November-2020,11.52,11.52,11.52,11.52,11.520000000000000000,800,6,9216.00,800,100.00,0.00,0.00
17-November-2020,10.98,10.98,10.98,10.98,10.978688524590163934,610,3,6697.00,610,100.00,0.00,0.00
14-November-2020,10.46,10.46,10.46,10.46,10.460000000000000000,50,1,523.00,50,100.00,0.00,0.00
13-November-2020,9.97,9.97,9.97,9.97,9.969989281886387995,933,3,9302.00,933,100.00,0.00,0.00
12-November-2020,9.50,9.50,9.50,9.50,9.500000000000000000,1500,5,14250.00,1500,100.00,0.00,0.00
11-November-2020,9.03,9.50,9.03,9.50,9.030974403097440309,4649,7,41985.00,4649,100.00,0.47,0.47
10-November-2020,9.50,9.50,9.05,9.50,9.103365384615384615,1248,8,11361.00,1248,100.00,0.45,0.00
9-November-2020,9.05,9.05,9.05,9.05,9.049751243781094527,402,1,3638.00,402,100.00,0.00,0.00
6-November-2020,9.20,9.45,9.05,9.05,9.230825420014609203,1369,9,12637.00,1369,100.00,0.40,-0.15
5-November-2020,9.50,9.50,9.04,9.04,9.116666666666666666,1500,4,13675.00,1500,100.00,0.46,-0.46
4-November-2020,9.65,9.65,9.50,9.51,9.513333333333333333,300,3,2854.00,300,100.00,0.15,-0.14
3-November-2020,9.50,9.71,9.23,9.65,9.339652448657187993,633,5,5912.00,633,100.00,0.48,0.15
2-November-2020,9.25,9.71,9.25,9.71,9.545454545454545454,11,4,105.00,11,100.00,0.46,0.46
30-October-2020,9.03,9.25,9.03,9.25,9.030864197530864197,162,3,1463.00,162,100.00,0.22,0.22
28-October-2020,9.50,9.50,9.50,9.50,9.500000000000000000,500,2,4750.00,500,100.00,0.00,0.00
27-October-2020,9.98,9.98,9.04,9.11,9.187576875768757687,3252,14,29878.00,3252,100.00,0.94,-0.87
26-October-2020,9.50,10.40,9.50,9.51,9.500000000000000000,102,4,969.00,102,100.00,0.90,0.01
23-October-2020,11.00,11.00,10.00,10.00,10.011250000000000000,800,6,8009.00,800,100.00,1.00,-1.00
22-October-2020,10.10,10.50,9.70,10.50,10.109053497942386831,3888,11,39304.00,3888,100.00,0.80,0.40
21-October-2020,10.60,10.60,10.07,10.07,10.300000000000000000,20,2,206.00,20,100.00,0.53,-0.53
20-October-2020,10.07,10.60,10.07,10.60,10.590994623655913978,7440,6,78797.00,7440,100.00,0.53,0.53
16-October-2020,10.65,10.65,10.60,10.60,10.600000000000000000,105,2,1113.00,105,100.00,0.05,-0.05
