Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,0.32,0.32,0.32,0.32,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
31-December-2020,0.32,0.32,0.32,0.32,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
30-December-2020,0.31,0.32,0.31,0.32,0.309690309690309690,1001,2,310.00,1001,100.00,0.01,0.01
29-December-2020,0.32,0.32,0.32,0.32,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
28-December-2020,0.32,0.32,0.32,0.32,0.318407960199004975,201,2,64.00,201,100.00,0.00,0.00
24-December-2020,0.32,0.32,0.32,0.32,0.320000000000000000,400,2,128.00,400,100.00,0.00,0.00
23-December-2020,0.33,0.33,0.33,0.33,0.330000000000000000,1000,1,330.00,1000,100.00,0.00,0.00
17-December-2020,0.34,0.34,0.34,0.34,0.333333333333333333,30,2,10.00,30,100.00,0.00,0.00
13-October-2020,0.34,0.34,0.34,0.34,0.000000000000000000,2,1,0.00,2,100.00,0.00,0.00
12-October-2020,0.33,0.33,0.33,0.33,0.000000000000000000,2,1,0.00,2,100.00,0.00,0.00
9-October-2020,0.32,0.32,0.32,0.32,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
8-October-2020,0.31,0.31,0.31,0.31,0.309669522643818849,2451,2,759.00,2451,100.00,0.00,0.00
7-October-2020,0.30,0.30,0.30,0.30,0.299500831946755407,601,2,180.00,601,100.00,0.00,0.00
6-October-2020,0.29,0.29,0.29,0.29,0.287128712871287128,101,2,29.00,101,100.00,0.00,0.00
5-October-2020,0.28,0.28,0.28,0.28,0.279912184412733260,911,3,255.00,911,100.00,0.00,0.00
1-October-2020,0.27,0.27,0.27,0.27,0.270000000000000000,100,1,27.00,100,100.00,0.00,0.00
30-September-2020,0.26,0.26,0.26,0.26,0.260000000000000000,300,3,78.00,300,100.00,0.00,0.00
24-September-2020,0.25,0.25,0.25,0.25,0.250000000000000000,1000,2,250.00,1000,100.00,0.00,0.00
22-September-2020,0.24,0.24,0.24,0.24,0.000000000000000000,1,1,0.00,1,100.00,0.00,0.00
21-September-2020,0.23,0.23,0.23,0.23,0.000000000000000000,2,1,0.00,2,100.00,0.00,0.00
18-September-2020,0.22,0.22,0.22,0.22,0.218905472636815920,201,4,44.00,201,100.00,0.00,0.00
17-September-2020,0.21,0.21,0.21,0.21,0.000000000000000000,3,2,0.00,3,100.00,0.00,0.00
16-September-2020,0.19,0.20,0.19,0.20,0.197411003236245954,618,4,122.00,618,100.00,0.01,0.01
15-September-2020,0.20,0.20,0.20,0.20,0.200000000000000000,200,3,40.00,200,100.00,0.00,0.00
14-September-2020,0.20,0.20,0.19,0.19,0.189888300999412110,1701,7,323.00,1701,100.00,0.01,-0.01
9-September-2020,0.19,0.19,0.19,0.19,0.184000000000000000,125,2,23.00,125,100.00,0.00,0.00
8-September-2020,0.20,0.20,0.20,0.20,0.200000000000000000,100,1,20.00,100,100.00,0.00,0.00
7-September-2020,0.20,0.20,0.20,0.20,0.199430199430199430,351,3,70.00,351,100.00,0.00,0.00
4-September-2020,0.20,0.20,0.20,0.20,0.200000000000000000,300,2,60.00,300,100.00,0.00,0.00
3-September-2020,0.20,0.20,0.20,0.20,0.200000000000000000,100,1,20.00,100,100.00,0.00,0.00
3-March-2020,0.21,0.21,0.21,0.21,0.210000000000000000,100,1,21.00,100,100.00,0.00,0.00
14-February-2020,0.21,0.21,0.21,0.21,0.209978308026030368,2305,4,484.00,2305,100.00,0.00,0.00
13-February-2020,0.20,0.20,0.20,0.20,0.199218750000000000,768,3,153.00,768,100.00,0.00,0.00
11-February-2020,0.19,0.19,0.19,0.19,0.190000000000000000,100,1,19.00,100,100.00,0.00,0.00
10-February-2020,0.19,0.19,0.19,0.19,0.190000000000000000,1000,1,190.00,1000,100.00,0.00,0.00
7-February-2020,0.19,0.19,0.19,0.19,0.190000000000000000,100,1,19.00,100,100.00,0.00,0.00
4-February-2020,0.19,0.19,0.19,0.19,0.190000000000000000,500,2,95.00,500,100.00,0.00,0.00
30-January-2020,0.19,0.20,0.19,0.20,0.198571428571428571,3500,4,695.00,3500,100.00,0.01,0.01
29-January-2020,0.19,0.19,0.19,0.19,0.189998626184915510,14558,3,2766.00,14558,100.00,0.00,0.00
21-January-2020,0.19,0.19,0.19,0.19,0.190000000000000000,200,1,38.00,200,100.00,0.00,0.00
20-January-2020,0.19,0.19,0.19,0.19,0.189090909090909090,550,1,104.00,550,100.00,0.00,0.00
17-January-2020,0.19,0.19,0.19,0.19,0.190000000000000000,100,1,19.00,100,100.00,0.00,0.00
15-January-2020,0.19,0.19,0.19,0.19,0.190000000000000000,200,1,38.00,200,100.00,0.00,0.00
9-January-2020,0.19,0.19,0.19,0.19,0.190000000000000000,100,1,19.00,100,100.00,0.00,0.00
6-January-2020,0.19,0.19,0.19,0.19,0.190000000000000000,700,2,133.00,700,100.00,0.00,0.00
1-January-2020,0.19,0.19,0.19,0.19,0.190000000000000000,200,2,38.00,200,100.00,0.00,0.00
