Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,281.45,291.60,279.50,290.95,288.441577751484246568,95503,3794,27547036.00,60411,63.26,12.10,9.50
4-January-2021,285.00,285.00,281.00,282.10,282.368627570264022387,32876,1271,9283151.00,19085,58.05,4.00,-2.90
1-January-2021,282.00,282.50,280.00,282.00,281.153333333333333333,6150,221,1729093.00,2550,41.46,2.50,0.00
31-December-2020,283.50,285.50,280.10,280.95,282.719001402845772853,34929,1225,9875092.00,21421,61.33,5.40,-2.55
30-December-2020,281.00,290.25,281.00,283.00,285.551215829624920534,75504,2881,21560259.00,36861,48.82,9.25,2.00
29-December-2020,277.00,282.50,271.95,280.50,277.967694060504302461,66706,2085,18542113.00,33511,50.24,10.55,3.50
28-December-2020,275.00,279.20,272.10,274.35,275.482200410196308233,13652,550,3760883.00,6164,45.15,7.10,-0.65
24-December-2020,277.00,277.00,271.30,273.95,273.750662690523525513,6036,323,1652359.00,3676,60.90,5.70,-3.05
23-December-2020,268.00,275.30,267.85,270.40,270.474500067105086565,14902,828,4030611.00,7501,50.34,7.45,2.40
22-December-2020,265.00,272.00,250.10,267.00,261.860471222935714115,41891,2075,10969597.00,20455,48.83,21.90,2.00
21-December-2020,280.10,282.90,263.75,267.45,274.442507349384140215,53746,2593,14750187.00,31958,59.46,19.15,-12.65
18-December-2020,288.70,290.00,282.00,283.70,285.389986345015930814,21970,1459,6270018.00,13039,59.35,8.00,-5.00
17-December-2020,289.00,292.90,288.95,289.80,290.712165273233975524,16506,579,4798495.00,9351,56.65,3.95,0.80
16-December-2020,293.50,294.90,288.45,289.45,291.478033083346630498,37602,1342,10960157.00,21758,57.86,6.45,-4.05
15-December-2020,286.40,293.00,286.30,290.50,290.348513585508790623,46925,2174,13624604.00,26182,55.80,6.70,4.10
14-December-2020,289.95,292.00,285.45,290.05,288.156868208414600167,43068,2376,12410340.00,29446,68.37,6.55,0.10
11-December-2020,289.45,289.45,285.00,285.45,286.707620006713662302,35748,1259,10249224.00,17281,48.34,4.45,-4.00
10-December-2020,289.90,291.60,284.70,285.65,287.581918283386439720,49586,1766,14260037.00,31971,64.48,6.90,-4.25
9-December-2020,288.00,292.05,285.10,285.90,288.192574667261032923,15703,740,4525488.00,10491,66.81,6.95,-2.10
8-December-2020,295.90,295.90,284.30,287.45,289.680338667803309179,51614,2116,14951561.00,24036,46.57,11.60,-8.45
7-December-2020,292.00,296.55,290.00,293.60,294.189723444374607165,31820,950,9361117.00,19092,60.00,6.55,1.60
4-December-2020,289.85,291.70,287.25,289.35,289.724201184465680194,57241,3105,16584103.00,37609,65.70,4.45,-0.50
