Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,133.50,134.05,130.40,131.10,131.054739312315069890,19602,858,2568935.00,14094,71.90,3.65,-2.40
4-January-2021,134.20,134.80,133.60,134.10,133.995360895074362123,7329,181,982052.00,2984,40.71,1.20,-0.10
1-January-2021,133.00,136.10,132.35,133.50,133.579133977066988533,13256,349,1770725.00,7348,55.43,3.75,0.50
31-December-2020,136.20,136.20,131.50,132.20,133.626017414347908385,21132,960,2823785.00,8356,39.54,4.70,-4.00
30-December-2020,133.60,134.30,133.00,133.75,133.503338898163606010,1198,90,159937.00,752,62.77,1.30,0.15
29-December-2020,134.35,134.35,133.10,133.25,133.555237935093324365,5947,474,794253.00,2660,44.73,1.25,-1.10
28-December-2020,134.40,135.25,132.45,132.90,133.084959568733153638,9275,254,1234363.00,5359,57.78,2.80,-1.50
24-December-2020,135.00,135.10,131.70,132.95,133.030884233303826104,10167,413,1352525.00,5029,49.46,3.40,-2.05
23-December-2020,134.90,134.90,132.10,132.85,133.512517193947730398,3635,161,485318.00,2089,57.47,2.80,-2.05
22-December-2020,116.50,133.50,116.50,131.60,128.182497730791820171,37458,1338,4801460.00,28739,76.72,17.00,15.10
21-December-2020,134.00,134.65,125.05,126.60,129.504331175344214461,10967,585,1420274.00,6349,57.89,9.60,-7.40
18-December-2020,134.15,135.05,132.50,134.45,134.087673094894231586,11771,311,1578346.00,4007,34.04,2.55,0.30
17-December-2020,134.10,135.40,131.90,134.30,134.465129984938772837,15271,651,2053417.00,10542,69.03,3.50,0.20
16-December-2020,136.50,136.60,132.70,134.25,135.356403456240910257,11689,431,1582181.00,3492,29.87,3.90,-2.25
15-December-2020,134.25,136.00,132.95,135.25,134.433952787543947764,11946,512,1605948.00,5854,49.00,3.05,1.00
14-December-2020,129.70,134.75,127.60,134.25,132.706429124709527498,15492,716,2055888.00,6896,44.51,7.15,4.55
11-December-2020,135.80,136.05,128.85,129.50,131.856145335227386406,49981,1713,6590302.00,24392,48.80,7.20,-6.30
10-December-2020,133.05,137.65,132.60,132.95,134.901547234684892448,47698,2409,6434534.00,26338,55.22,5.05,-0.10
9-December-2020,131.25,134.70,131.25,132.80,133.250300300300300300,6660,372,887447.00,2770,41.59,3.45,1.55
8-December-2020,135.95,135.95,130.70,132.70,133.295033757196702978,24143,791,3218142.00,13561,56.17,5.25,-3.25
7-December-2020,135.40,135.90,133.00,134.50,134.971187860733569167,21484,1070,2899721.00,10633,49.49,2.90,-0.90
4-December-2020,134.20,135.95,133.60,135.40,135.024805778928717459,22011,1224,2972031.00,14791,67.20,2.35,1.20
3-December-2020,134.80,136.90,134.35,135.30,135.428765674573198368,13238,770,1792806.00,5289,39.95,2.55,0.50
2-December-2020,133.00,135.65,133.00,134.35,134.528121827411167512,9850,515,1325102.00,4201,42.65,2.65,1.35
1-December-2020,133.90,134.30,132.30,133.90,133.302955994471443220,22429,811,2989852.00,15109,67.36,2.00,0.00
27-November-2020,139.00,140.20,130.15,131.75,135.873629786978216869,199604,813,27120920.00,191852,96.12,10.05,-7.25
26-November-2020,138.95,138.95,134.00,134.90,135.384826827927432655,7276,214,985060.00,2145,29.48,4.95,-4.05
25-November-2020,138.10,138.30,133.55,134.85,135.858253181774021179,10293,426,1398389.00,5747,55.83,4.75,-3.25
24-November-2020,138.45,142.00,137.00,137.85,138.498866418790242132,11027,466,1527227.00,4070,36.91,5.00,-0.60
23-November-2020,142.00,142.00,134.30,138.20,137.289976996385146237,15215,531,2088867.00,5377,35.34,7.70,-3.80
20-November-2020,138.50,139.95,136.50,138.00,138.365214134099138469,16018,653,2216334.00,6733,42.03,3.45,-0.50
19-November-2020,135.95,142.40,133.55,137.60,139.218329283509555395,91362,3431,12719265.00,41164,45.06,8.85,1.65
18-November-2020,129.95,135.80,129.95,134.75,134.516643803018001623,35719,855,4804800.00,12931,36.20,5.85,4.80
17-November-2020,132.00,132.00,128.40,129.55,129.373853668261562998,20064,492,2595757.00,10000,49.84,3.60,-2.45
14-November-2020,127.90,127.90,126.65,127.40,127.258520839267065413,21066,401,2680828.00,15229,72.29,1.25,-0.50
13-November-2020,127.00,129.50,125.00,125.60,126.633094076477049222,39149,891,4957559.00,23743,60.65,4.50,-1.40
12-November-2020,126.50,128.40,124.00,125.40,126.655597096987024411,18188,547,2303612.00,8366,46.00,4.40,-1.10
11-November-2020,129.00,129.00,123.00,126.15,126.316051764327626396,37323,1128,4714494.00,28624,76.69,6.00,-2.85
10-November-2020,125.00,131.00,121.00,127.95,125.681103468370500639,96097,2702,12077577.00,62446,64.98,10.00,2.95
9-November-2020,120.00,126.60,120.00,123.60,124.005672275858418088,755605,2896,93699306.00,703905,93.16,6.60,3.60
6-November-2020,120.70,120.70,116.50,118.40,117.785561497326203208,22440,985,2643108.00,9094,40.53,4.20,-2.30
5-November-2020,121.50,123.60,116.85,118.35,120.449159000598769800,36742,3476,4425543.00,13025,35.45,6.75,-3.15
