Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,195.05,198.45,195.05,195.95,196.159695817490494296,4208,239,825440.00,3193,75.88,3.40,0.90
4-January-2021,200.00,202.10,195.85,197.40,198.869822485207100591,11492,414,2285412.00,3690,32.11,6.25,-2.60
1-January-2021,197.00,201.00,196.45,198.15,198.435774692835487474,6267,316,1243597.00,4097,65.37,4.55,1.15
31-December-2020,196.50,199.05,194.00,196.15,196.928965863453815261,3984,281,784565.00,2313,58.06,5.05,-0.35
30-December-2020,193.85,199.30,192.50,195.80,195.853039134054954204,7206,423,1411317.00,4584,63.61,6.80,1.95
29-December-2020,200.95,200.95,193.25,193.80,195.860387953037263910,7836,438,1534762.00,4597,58.67,7.70,-7.15
28-December-2020,194.15,201.90,191.00,196.75,197.466897918731417244,10090,544,1992441.00,4062,40.26,10.90,2.60
24-December-2020,197.10,197.70,192.00,193.50,194.633169723585636786,3871,211,753425.00,2303,59.49,5.70,-3.60
23-December-2020,191.45,197.00,191.00,195.70,193.626805778491171749,6230,520,1206295.00,3495,56.10,6.00,4.25
22-December-2020,189.00,192.40,180.05,190.45,186.724982586487114000,8614,462,1608449.00,3823,44.38,12.35,1.45
21-December-2020,205.00,205.00,185.50,187.45,194.562069707401032702,18592,856,3617298.00,11336,60.97,19.50,-17.55
18-December-2020,207.95,208.80,202.15,204.05,204.842031359700444652,8546,548,1750580.00,4606,53.90,6.65,-3.90
17-December-2020,209.00,213.35,206.25,207.35,210.297930179320869896,20968,779,4409527.00,11222,53.52,7.10,-1.65
16-December-2020,208.00,213.75,206.40,208.75,210.211622013034033309,22096,960,4644836.00,11418,51.67,7.35,0.75
15-December-2020,206.95,211.95,206.10,208.60,208.828544949026876737,8632,436,1802608.00,4325,50.10,5.85,1.65
14-December-2020,208.90,210.50,206.00,206.60,207.553679131483715319,9119,586,1892682.00,6186,67.84,4.50,-2.30
11-December-2020,211.00,215.85,207.55,208.90,211.331065630002286759,17492,900,3696603.00,8397,48.00,8.30,-2.10
10-December-2020,207.15,216.00,203.45,209.00,209.225947373768160113,19686,1190,4118822.00,6416,32.59,12.55,1.85
9-December-2020,207.20,215.00,205.20,208.50,209.690471625766871165,52160,2016,10937455.00,18052,34.61,9.80,1.30
8-December-2020,204.00,209.85,199.55,202.20,204.683332295622937550,16061,862,3287419.00,7194,44.79,10.30,-1.80
7-December-2020,201.00,206.10,199.70,204.00,204.111378611251900658,15784,842,3221694.00,7402,46.90,6.40,3.00
4-December-2020,206.80,207.90,198.00,201.10,202.215378708934349805,18233,1147,3686993.00,9321,51.12,9.90,-5.70
3-December-2020,205.00,211.55,203.15,204.70,206.959093603846913905,30362,1638,6283692.00,17464,57.52,8.40,-0.30
2-December-2020,189.90,207.25,189.00,204.00,201.717514193572120513,81551,3459,16450265.00,29776,36.51,18.25,14.10
1-December-2020,189.50,190.95,188.00,188.85,189.806180449923945240,12491,429,2370869.00,8805,70.49,2.95,-0.65
27-November-2020,187.90,192.20,187.00,189.05,188.951645928492676011,12698,396,2399308.00,9577,75.42,5.20,1.15
26-November-2020,188.40,189.05,185.10,186.05,185.879489078119215105,5402,289,1004121.00,4530,83.86,3.95,-2.35
25-November-2020,190.50,192.00,186.40,187.55,188.736978872443791661,8851,432,1670511.00,5693,64.32,5.60,-2.95
24-November-2020,187.95,192.00,187.00,190.95,189.524874731567644953,11176,487,2118130.00,6732,60.24,5.00,3.00
23-November-2020,185.65,187.50,185.00,186.60,186.673661917597227570,5194,229,969583.00,3405,65.56,2.50,0.95
20-November-2020,185.00,188.30,183.00,183.15,185.577149587750294464,4245,309,787775.00,3018,71.10,5.30,-1.85
19-November-2020,185.05,194.00,183.90,186.70,188.698662728689802280,12189,682,2300048.00,5596,45.91,10.10,1.65
18-November-2020,188.00,188.85,185.25,186.50,187.382857142857142857,4900,214,918176.00,3066,62.57,3.60,-1.50
17-November-2020,183.30,191.50,183.30,188.00,188.459144865737005877,8677,810,1635260.00,6451,74.35,8.20,4.70
14-November-2020,186.20,188.00,185.50,186.90,186.663280116110304789,2756,186,514444.00,2025,73.48,2.50,0.70
13-November-2020,184.05,188.45,179.50,185.95,185.112991339107261825,7505,320,1389273.00,5055,67.36,8.95,1.90
12-November-2020,184.00,187.00,183.60,185.95,185.231614069233977478,7193,469,1332371.00,4795,66.66,3.40,1.95
11-November-2020,183.70,184.20,180.20,181.95,181.705382436260623229,2824,177,513136.00,2084,73.80,4.00,-1.75
10-November-2020,183.05,184.90,181.15,181.80,183.016415868673050615,2193,221,401355.00,1553,70.82,3.75,-1.25
9-November-2020,183.80,184.75,181.60,182.00,182.734533183352080989,2667,201,487353.00,1943,72.85,3.15,-1.80
6-November-2020,183.50,186.85,181.85,182.40,183.596889176928062216,3086,214,566580.00,1967,63.74,5.00,-1.10
5-November-2020,181.60,184.00,179.75,182.20,181.906564364876385336,5865,243,1066882.00,3970,67.69,4.25,0.60
4-November-2020,181.90,182.40,177.45,178.75,179.280821917808219178,3358,182,602025.00,1960,58.37,4.95,-3.15
3-November-2020,182.85,185.35,181.00,181.75,183.056034482758620689,2552,256,467159.00,1555,60.93,4.35,-1.10
2-November-2020,183.10,183.55,179.00,181.05,180.903458213256484149,3470,153,627735.00,2427,69.94,4.55,-2.05
30-October-2020,184.00,184.10,181.10,181.55,181.970241437394722066,1781,116,324089.00,1203,67.55,3.00,-2.45
29-October-2020,186.30,187.00,181.00,182.65,183.309982486865148861,1142,145,209340.00,756,66.20,6.00,-3.65
28-October-2020,187.00,190.50,185.05,186.25,187.081533101045296167,1435,105,268462.00,751,52.33,5.45,-0.75
27-October-2020,186.85,187.85,184.45,185.20,186.369142351900972590,4524,269,843134.00,3249,71.82,3.40,-1.65
26-October-2020,191.00,193.00,186.95,187.50,189.685773302349599793,3873,255,734653.00,2363,61.01,6.05,-3.50
23-October-2020,186.05,197.35,184.00,190.70,191.721300777638805807,36778,2214,7051126.00,10289,27.98,13.35,4.65
22-October-2020,184.50,185.90,183.20,184.45,184.403651518158364754,5039,247,929210.00,3270,64.89,2.70,-0.05
21-October-2020,180.80,189.00,179.80,184.90,183.154853532452613440,8705,478,1594363.00,4560,52.38,9.20,4.10
20-October-2020,179.75,182.90,178.40,181.30,181.045608744817188088,2653,158,480314.00,1897,71.50,4.50,1.55
19-October-2020,182.50,183.55,179.00,179.65,181.334946980175195942,4338,239,786631.00,3016,69.53,4.55,-2.85
16-October-2020,179.90,181.05,177.55,178.50,179.376646609204748739,6149,412,1102987.00,4723,76.81,3.50,-1.40
15-October-2020,174.00,183.55,174.00,178.45,180.775159548355424644,4074,292,736478.00,2926,71.82,9.55,4.45
14-October-2020,184.80,184.80,176.55,177.75,178.594894026974951830,8304,420,1483052.00,6147,74.02,8.25,-7.05
13-October-2020,184.75,185.40,180.85,181.40,182.468601783342819199,5271,394,961792.00,3593,68.17,4.55,-3.35
12-October-2020,185.55,189.80,183.35,184.05,185.849056603773584905,2862,156,531900.00,1920,67.09,6.45,-1.50
9-October-2020,191.30,192.85,186.35,189.05,189.437713310580204778,5860,329,1110105.00,3614,61.67,6.50,-2.25
8-October-2020,194.65,196.00,190.05,191.65,193.393603936039360393,1626,131,314458.00,694,42.68,5.95,-3.00
7-October-2020,194.90,196.35,193.25,193.70,194.368878865979381443,3104,173,603321.00,2371,76.39,3.10,-1.20
6-October-2020,196.50,198.25,193.95,194.50,195.515168128654970760,5472,304,1069859.00,3400,62.13,4.30,-2.00
5-October-2020,200.00,200.00,195.40,195.80,196.818722139673105497,2692,161,529836.00,1725,64.08,4.60,-4.20
1-October-2020,200.35,200.35,196.00,196.15,197.797131147540983606,4392,228,868725.00,2373,54.03,4.35,-4.20
30-September-2020,197.40,202.00,194.00,197.35,198.765447667087011349,8723,386,1733831.00,3801,43.57,8.00,-0.05
29-September-2020,198.55,198.80,193.95,194.70,195.606234761407175200,5742,308,1123171.00,4218,73.46,4.85,-3.85
28-September-2020,194.10,200.50,193.25,197.80,197.234516928158546655,8477,571,1671957.00,3923,46.28,7.25,3.70
25-September-2020,185.00,196.90,185.00,193.70,190.042180128159988733,14201,633,2698789.00,5358,37.73,11.90,8.70
