Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,1.65,1.69,1.60,1.68,1.665042223031913753,373256,218,621487.00,274361,73.50,0.09,0.03
4-January-2021,1.62,1.63,1.56,1.61,1.598324040562131142,245352,240,392152.00,179095,73.00,0.07,-0.01
1-January-2021,1.55,1.58,1.51,1.57,1.569505057818080334,247241,133,388046.00,246056,99.52,0.07,0.02
31-December-2020,1.44,1.51,1.44,1.51,1.506178753175070532,227554,127,342737.00,202761,89.10,0.07,0.07
30-December-2020,1.42,1.49,1.38,1.44,1.426768977923866210,450260,207,642417.00,225031,49.98,0.11,0.02
29-December-2020,1.43,1.44,1.40,1.42,1.415864567999094100,35324,74,50014.00,29663,83.97,0.04,-0.01
28-December-2020,1.43,1.45,1.42,1.42,1.422105422891749092,72489,51,103087.00,48385,66.75,0.03,-0.01
24-December-2020,1.49,1.52,1.40,1.40,1.464152221783072666,88555,211,129658.00,46365,52.36,0.12,-0.09
23-December-2020,1.44,1.45,1.37,1.45,1.393370817276307199,47487,81,66167.00,36593,77.06,0.08,0.01
22-December-2020,1.41,1.44,1.35,1.39,1.374545535654540182,89666,77,123250.00,83734,93.38,0.09,-0.02
21-December-2020,1.54,1.54,1.42,1.42,1.465903417600871420,88132,113,129193.00,54864,62.25,0.12,-0.12
18-December-2020,1.55,1.55,1.48,1.49,1.504325848157869155,185166,141,278550.00,173800,93.86,0.07,-0.06
17-December-2020,1.57,1.57,1.48,1.53,1.529265965712936825,203342,70,310964.00,155273,76.36,0.09,-0.04
16-December-2020,1.49,1.50,1.46,1.50,1.482687499391946452,205574,61,304802.00,186188,90.57,0.04,0.01
15-December-2020,1.47,1.49,1.46,1.47,1.467149373309110870,76513,153,112256.00,65390,85.46,0.03,0.00
14-December-2020,1.52,1.59,1.49,1.51,1.531212899796225746,112870,145,172828.00,100228,88.80,0.10,-0.01
11-December-2020,1.59,1.59,1.49,1.54,1.533831260527076917,117554,74,180308.00,97231,82.71,0.10,-0.05
10-December-2020,1.50,1.53,1.43,1.53,1.465851941259303962,59652,92,87441.00,46132,77.34,0.10,0.03
9-December-2020,1.55,1.58,1.46,1.50,1.483910255852595498,114949,169,170574.00,85361,74.26,0.12,-0.05
8-December-2020,1.52,1.56,1.52,1.52,1.523855279777448876,129049,57,196652.00,128539,99.60,0.04,0.00
7-December-2020,1.68,1.72,1.59,1.59,1.638690597170316109,241087,142,395067.00,175597,72.84,0.13,-0.09
4-December-2020,1.70,1.70,1.59,1.67,1.640682818377011984,394014,288,646452.00,250246,63.51,0.11,-0.03
3-December-2020,1.55,1.63,1.55,1.63,1.614805823412773208,397911,211,642549.00,323726,81.36,0.08,0.08
2-December-2020,1.44,1.49,1.44,1.49,1.479913131671986110,174517,100,258270.00,169517,97.13,0.05,0.05
1-December-2020,1.24,1.36,1.24,1.36,1.314708912167060210,235891,113,310128.00,215910,91.53,0.12,0.12
27-November-2020,1.17,1.25,1.17,1.24,1.231135021322912763,112086,83,137993.00,88285,78.77,0.08,0.07
26-November-2020,1.24,1.25,1.17,1.19,1.208850124029767144,87479,55,105749.00,58514,66.89,0.08,-0.05
25-November-2020,1.24,1.24,1.17,1.17,1.186114927665077184,61865,53,73379.00,42209,68.23,0.07,-0.07
24-November-2020,1.19,1.21,1.18,1.21,1.196156628249023484,207370,199,248047.00,165872,79.99,0.03,0.02
23-November-2020,1.20,1.20,1.15,1.16,1.172100594726083779,108117,74,126724.00,87962,81.36,0.05,-0.04
20-November-2020,1.15,1.21,1.14,1.19,1.174054871711969700,173204,92,203351.00,127386,73.55,0.07,0.04
19-November-2020,1.15,1.18,1.14,1.17,1.161432474266043018,118229,173,137315.00,95500,80.78,0.04,0.02
18-November-2020,1.16,1.19,1.14,1.17,1.162822832702747162,60790,93,70688.00,39988,65.78,0.05,0.01
17-November-2020,1.20,1.20,1.15,1.16,1.165304976924036422,64136,27,74738.00,58118,90.62,0.05,-0.04
14-November-2020,1.20,1.20,1.16,1.16,1.199781061850027367,9135,7,10960.00,9135,100.00,0.04,-0.04
13-November-2020,1.19,1.20,1.14,1.18,1.160164377861007074,38448,122,44606.00,23925,62.23,0.06,-0.01
12-November-2020,1.18,1.20,1.16,1.17,1.180096696212731668,39712,96,46864.00,23972,60.36,0.04,-0.01
11-November-2020,1.20,1.20,1.15,1.15,1.159662278509137365,90015,30,104387.00,82676,91.85,0.05,-0.05
10-November-2020,1.15,1.20,1.15,1.19,1.172663958212420197,58582,37,68697.00,39016,66.60,0.05,0.04
9-November-2020,1.20,1.20,1.16,1.16,1.168292533284250567,65196,204,76168.00,52161,80.01,0.04,-0.04
6-November-2020,1.15,1.19,1.11,1.13,1.139721724683955039,77046,25,87811.00,47986,62.28,0.08,-0.02
5-November-2020,1.14,1.20,1.12,1.19,1.174902957405698967,57449,87,67497.00,43459,75.65,0.08,0.05
4-November-2020,1.12,1.17,1.12,1.15,1.141834131495322919,22343,20,25512.00,17378,77.78,0.05,0.03
