Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-January-2021,94.00,94.00,94.00,94.00,94.000000000000000000,120,2,11280.00,120,100.00,0.00,0.00
31-December-2020,98.70,98.70,98.70,98.70,98.700000000000000000,20,1,1974.00,20,100.00,0.00,0.00
17-November-2020,94.00,94.00,94.00,94.00,94.000000000000000000,9,1,846.00,9,100.00,0.00,0.00
11-November-2020,98.00,98.00,98.00,98.00,98.000000000000000000,9,1,882.00,9,100.00,0.00,0.00
4-November-2020,98.00,98.00,98.00,98.00,98.000000000000000000,1,1,98.00,1,100.00,0.00,0.00
14-October-2020,95.00,95.00,95.00,95.00,95.000000000000000000,100,2,9500.00,100,100.00,0.00,0.00
12-October-2020,95.00,95.00,95.00,95.00,95.000000000000000000,1,1,95.00,1,100.00,0.00,0.00
9-September-2020,105.00,105.00,95.00,96.10,96.111111111111111111,225,2,21625.00,225,100.00,10.00,-8.90
31-August-2020,100.00,100.00,100.00,100.00,100.000000000000000000,25,1,2500.00,25,100.00,0.00,0.00
20-August-2020,97.00,97.00,97.00,97.00,97.000000000000000000,1,1,97.00,1,100.00,0.00,0.00
19-August-2020,97.00,97.00,97.00,97.00,97.000000000000000000,4,1,388.00,4,100.00,0.00,0.00
13-August-2020,95.05,97.00,95.05,97.00,96.024691358024691358,162,5,15556.00,162,100.00,1.95,1.95
11-August-2020,101.80,101.80,92.15,95.05,95.054255848680935788,2009,13,190964.00,2009,100.00,9.65,-6.75
4-August-2020,97.00,97.00,97.00,97.00,97.000000000000000000,201,4,19497.00,201,100.00,0.00,0.00
22-July-2020,101.60,101.60,101.60,101.60,101.500000000000000000,2,2,203.00,2,100.00,0.00,0.00
13-July-2020,106.90,106.90,106.90,106.90,106.900000000000000000,50,2,5345.00,50,100.00,0.00,0.00
26-June-2020,107.40,107.40,107.40,107.40,107.400000000000000000,200,3,21480.00,200,100.00,0.00,0.00
29-April-2020,107.40,107.40,107.40,107.40,107.000000000000000000,1,1,107.00,1,100.00,0.00,0.00
17-April-2020,107.40,107.40,107.40,107.40,107.000000000000000000,1,1,107.00,1,100.00,0.00,0.00
20-March-2020,107.30,107.40,107.30,107.40,107.300000000000000000,10,2,1073.00,10,100.00,0.10,0.10
