Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,272.75,283.80,271.50,281.40,277.442947510744120913,20709,992,5745566.00,13713,66.22,12.30,8.65
4-January-2021,270.00,280.20,270.00,279.20,277.623657740927008291,58856,2158,16339818.00,38269,65.02,10.20,9.20
1-January-2021,265.00,273.55,263.30,270.70,269.395173745173745173,31080,968,8372802.00,17870,57.50,10.25,5.70
31-December-2020,265.00,266.25,262.00,263.40,263.674124769676230586,7598,321,2003396.00,5007,65.90,4.25,-1.60
30-December-2020,262.80,266.10,258.30,264.10,262.126551248659414738,13054,560,3421800.00,7513,57.55,7.80,1.30
29-December-2020,269.80,273.00,258.30,262.30,264.928765731025618031,33453,1265,8862662.00,12645,37.80,14.70,-7.50
28-December-2020,256.05,265.35,256.05,262.80,261.941432750357876392,16067,729,4208613.00,8296,51.63,9.30,6.75
24-December-2020,259.10,262.10,254.40,257.60,258.089993990384615384,13312,731,3435694.00,7336,55.11,7.70,-1.50
23-December-2020,255.00,259.00,252.05,258.10,256.164573991031390134,13380,742,3427482.00,6936,51.84,6.95,3.10
22-December-2020,255.15,255.90,238.50,251.50,247.332890113021179599,10529,578,2604168.00,5071,48.16,17.40,-3.65
21-December-2020,269.70,269.70,248.65,249.85,259.767924451829935557,24673,1001,6409254.00,10169,41.22,21.05,-19.85
18-December-2020,281.75,283.15,265.10,268.10,271.004251181942961720,52456,2421,14215799.00,31871,60.76,18.05,-13.65
17-December-2020,288.80,288.80,280.75,281.80,284.773578758755497638,12278,634,3496450.00,8690,70.78,8.05,-7.00
16-December-2020,290.00,293.95,284.00,286.35,288.795634731110898844,20938,639,6046803.00,8321,39.74,9.95,-3.65
15-December-2020,294.80,294.80,281.45,286.05,287.471412343809163195,10564,516,3036848.00,6056,57.33,13.35,-8.75
14-December-2020,291.00,291.00,283.00,285.15,285.961568024596464258,13010,733,3720360.00,7150,54.96,8.00,-5.85
11-December-2020,296.90,296.90,282.25,284.25,287.353280853488010772,38618,1751,11097009.00,19996,51.78,14.65,-12.65
10-December-2020,283.05,298.20,278.15,294.25,291.579868524214462336,82905,2782,24173429.00,27797,33.53,20.05,11.20
9-December-2020,275.00,298.00,275.00,283.30,288.476681671556924422,109742,3665,31658008.00,42094,38.36,23.00,8.30
8-December-2020,290.00,290.00,274.00,277.20,283.270730510211264851,1022792,2679,289727037.00,936591,91.57,16.00,-12.80
7-December-2020,291.90,292.65,280.50,283.45,286.103072913244409400,45657,1838,13062608.00,27693,60.65,12.15,-8.45
4-December-2020,266.00,290.20,265.20,285.10,280.048623651921486557,59251,2528,16593161.00,31668,53.45,25.00,19.10
3-December-2020,264.10,265.45,262.35,263.80,264.112311848707062910,10364,525,2737260.00,6293,60.72,3.10,-0.30
2-December-2020,259.80,265.00,257.20,262.80,260.761664345403899721,11488,735,2995630.00,5462,47.55,7.80,3.00
1-December-2020,259.25,265.20,256.70,261.15,261.572094572094572094,36036,1664,9426012.00,15266,42.36,8.50,1.90
27-November-2020,250.00,261.00,247.30,256.00,253.403421187871668746,13621,669,3451608.00,8315,61.05,13.70,6.00
26-November-2020,248.70,255.50,247.00,250.20,249.138694919335420178,4153,204,1034673.00,2200,52.97,8.50,1.50
25-November-2020,255.25,255.25,246.60,248.25,250.506315211422295442,7284,451,1824688.00,4906,67.35,8.65,-7.00
24-November-2020,254.20,256.90,252.30,253.10,254.137230133210840606,8708,506,2213027.00,6052,69.50,4.60,-1.10
23-November-2020,250.00,254.80,249.80,252.20,252.772502393871688477,12532,600,3167745.00,9013,71.92,5.00,2.20
20-November-2020,247.50,251.20,245.75,247.35,248.400211450878334417,12296,465,3054329.00,8668,70.49,5.45,-0.15
19-November-2020,252.00,252.15,244.55,247.55,248.254247572815533980,14832,892,3682107.00,7779,52.45,7.60,-4.45
18-November-2020,246.75,251.75,239.45,250.00,243.914601566098572086,32565,917,7943079.00,20730,63.66,12.30,3.25
17-November-2020,239.90,249.80,239.85,247.95,243.369777777777777777,33750,3316,8213730.00,26647,78.95,9.95,8.05
14-November-2020,240.50,242.70,238.85,240.05,240.529845741113346747,2982,144,717260.00,2440,81.82,3.85,-0.45
13-November-2020,234.00,242.70,234.00,240.50,239.446278317152103559,12360,1224,2959556.00,9148,74.01,8.70,6.50
12-November-2020,230.90,239.70,229.00,236.15,235.112851885009449915,20106,1586,4727179.00,13499,67.14,10.70,5.25
11-November-2020,225.90,233.20,223.15,228.80,227.518885987815491731,5745,605,1307096.00,2943,51.23,10.05,2.90
10-November-2020,226.85,231.00,224.65,226.85,228.281630492323980942,13223,1549,3018568.00,8509,64.35,6.35,0.00
9-November-2020,225.80,226.10,221.00,223.45,222.826036193812025685,3426,326,763402.00,1958,57.15,5.10,-2.35
6-November-2020,228.20,228.35,222.25,223.20,225.398281849753244379,5471,575,1233154.00,3970,72.56,6.10,-5.00
5-November-2020,219.80,230.20,219.80,227.25,227.140817523958537062,5113,734,1161371.00,2832,55.39,10.40,7.45
4-November-2020,218.90,221.50,215.60,219.55,218.867405764966740576,6765,455,1480638.00,3887,57.46,5.90,0.65
3-November-2020,221.25,221.40,215.30,218.00,217.786300632485533575,7431,938,1618370.00,4683,63.02,6.10,-3.25
2-November-2020,228.00,228.00,217.20,220.35,220.912981744421906693,9860,1006,2178202.00,6722,68.17,10.80,-7.65
30-October-2020,226.60,228.95,221.40,225.15,226.291718833840100160,11182,888,2530394.00,6736,60.24,7.55,-1.45
29-October-2020,227.90,234.90,224.90,226.60,230.031844079652507474,35454,2168,8155549.00,11826,33.36,10.00,-1.30
28-October-2020,234.30,234.30,226.75,228.40,229.991699679305791360,5301,407,1219186.00,3408,64.29,7.55,-5.90
27-October-2020,227.70,232.50,227.15,232.15,230.629787839954435426,7023,422,1619713.00,4014,57.16,5.35,4.45
26-October-2020,226.35,229.45,222.75,227.50,226.816613868356212601,8523,503,1933158.00,5420,63.59,6.70,1.15
23-October-2020,231.80,233.90,223.80,224.55,228.129037291309096582,6409,559,1462079.00,4392,68.53,10.10,-7.25
22-October-2020,220.60,230.75,220.60,229.40,225.670638965111720893,12755,726,2878429.00,6328,49.61,10.15,8.80
21-October-2020,223.85,225.00,215.80,219.10,220.571772997032640949,10784,1207,2378646.00,6918,64.15,9.20,-4.75
20-October-2020,232.50,235.10,222.05,223.85,226.669067921199647162,6802,853,1541803.00,5045,74.17,13.05,-8.65
19-October-2020,239.80,240.05,232.10,233.80,235.533986834573554665,13976,1152,3291823.00,10600,75.84,7.95,-6.00
16-October-2020,228.20,235.85,224.25,235.15,231.196794793073805722,16286,1238,3765271.00,10312,63.32,11.60,6.95
15-October-2020,221.55,228.50,221.55,224.40,225.731388490355491790,6273,639,1416013.00,3347,53.36,6.95,2.85
14-October-2020,219.80,225.35,219.80,222.80,223.055471268727479613,10546,831,2352343.00,3478,32.98,5.55,3.00
13-October-2020,220.00,228.00,210.85,215.90,216.142857142857142857,18606,1345,4021554.00,10105,54.31,17.15,-4.10
12-October-2020,229.25,231.70,216.45,217.35,223.214906312153250287,9553,1205,2132372.00,6659,69.71,15.25,-11.90
9-October-2020,233.00,233.50,226.60,227.85,229.830948121645796064,4472,439,1027804.00,3012,67.35,6.90,-5.15
8-October-2020,237.40,240.00,228.35,231.25,233.897053982883475971,12152,659,2842317.00,7164,58.95,11.65,-6.15
7-October-2020,238.00,238.85,233.60,235.15,235.775355137099438387,3027,214,713692.00,2109,69.67,5.25,-2.85
6-October-2020,237.10,241.65,235.80,237.20,237.852575488454706927,5630,332,1339110.00,3307,58.74,5.85,0.10
5-October-2020,241.25,243.75,235.15,236.40,238.607637109174782162,11706,1162,2793141.00,6454,55.13,8.60,-4.85
