Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-December-2020,35.15,36.90,35.15,36.90,36.200000000000000000,10,2,362.00,10,100.00,1.75,1.75
18-December-2020,35.15,35.15,35.15,35.15,35.000000000000000000,1,1,35.00,1,100.00,0.00,0.00
17-December-2020,37.00,37.00,37.00,37.00,37.000000000000000000,20,1,740.00,20,100.00,0.00,0.00
16-December-2020,37.20,37.20,37.20,37.20,37.000000000000000000,1,1,37.00,1,100.00,0.00,0.00
15-December-2020,37.95,37.95,37.20,37.20,37.387500000000000000,400,2,14955.00,400,100.00,0.75,-0.75
14-December-2020,36.30,36.30,36.30,36.30,36.250000000000000000,16,1,580.00,16,100.00,0.00,0.00
11-December-2020,31.80,34.95,31.80,34.65,32.233392539964476021,2815,12,90737.00,2390,84.90,3.15,2.85
10-December-2020,33.45,33.45,33.45,33.45,33.445454545454545454,110,3,3679.00,110,100.00,0.00,0.00
8-December-2020,35.20,35.20,35.20,35.20,35.200000000000000000,50,1,1760.00,50,100.00,0.00,0.00
7-December-2020,37.05,37.05,37.05,37.05,37.049056603773584905,265,7,9818.00,265,100.00,0.00,0.00
3-December-2020,40.95,40.95,37.05,39.00,40.061261261261261261,555,8,22234.00,555,100.00,3.90,-1.95
2-December-2020,39.20,40.60,39.00,39.00,39.657894736842105263,152,3,6028.00,152,100.00,1.60,-0.20
1-December-2020,38.00,38.80,38.00,38.80,38.043859649122807017,114,3,4337.00,107,93.86,0.80,0.80
27-November-2020,38.00,38.00,38.00,38.00,38.000000000000000000,50,2,1900.00,50,100.00,0.00,0.00
26-November-2020,36.20,36.20,36.20,36.20,36.200000000000000000,100,1,3620.00,100,100.00,0.00,0.00
25-November-2020,36.10,36.10,33.00,34.50,34.500000000000000000,12,3,414.00,12,100.00,3.10,-1.60
24-November-2020,38.00,38.00,34.40,34.40,35.416901408450704225,355,9,12573.00,305,85.92,3.60,-3.60
23-November-2020,34.00,36.20,34.00,36.20,35.455470737913486005,393,3,13934.00,393,100.00,2.20,2.20
20-November-2020,34.75,35.45,34.75,35.45,35.275000000000000000,600,5,21165.00,600,100.00,0.70,0.70
19-November-2020,33.70,35.45,33.70,35.45,33.706467661691542288,201,3,6775.00,200,99.50,1.75,1.75
18-November-2020,35.45,35.45,35.45,35.45,35.000000000000000000,1,1,35.00,1,100.00,0.00,0.00
17-November-2020,33.80,33.80,33.70,33.80,33.769230769230769230,26,3,878.00,26,100.00,0.10,0.00
14-November-2020,33.80,33.80,33.80,33.80,33.800000000000000000,365,2,12337.00,365,100.00,0.00,0.00
12-November-2020,33.80,33.80,32.00,33.60,33.199004975124378109,201,3,6673.00,201,100.00,1.80,-0.20
11-November-2020,29.20,32.20,29.20,32.20,29.365853658536585365,533,9,15652.00,533,100.00,3.00,3.00
10-November-2020,33.90,33.90,30.70,30.70,33.309662398137369033,2577,16,85839.00,2101,81.53,3.20,-3.20
9-November-2020,32.30,32.30,32.30,32.30,32.280000000000000000,25,1,807.00,25,100.00,0.00,0.00
6-November-2020,30.85,30.85,30.80,30.80,30.836206896551724137,116,2,3577.00,116,100.00,0.05,-0.05
22-October-2020,31.60,33.25,31.60,32.40,32.407766990291262135,103,4,3338.00,102,99.03,1.65,0.80
19-October-2020,30.15,33.25,30.15,33.25,33.076923076923076923,26,4,860.00,25,96.15,3.10,3.10
13-October-2020,31.70,31.70,31.70,31.70,31.500000000000000000,2,1,63.00,2,100.00,0.00,0.00
9-October-2020,30.40,32.00,30.40,31.20,31.176470588235294117,51,4,1590.00,51,100.00,1.60,0.80
8-October-2020,32.40,32.40,32.00,32.00,32.033333333333333333,1200,5,38440.00,1200,100.00,0.40,-0.40
7-October-2020,32.40,36.00,32.40,33.65,33.652173913043478260,460,6,15480.00,460,100.00,3.60,1.25
8-September-2020,36.00,36.00,36.00,36.00,36.000000000000000000,1,1,36.00,1,100.00,0.00,0.00
4-September-2020,34.05,36.00,34.05,36.00,34.054054054054054054,814,6,27720.00,810,99.51,1.95,1.95
1-September-2020,37.80,37.80,37.80,37.80,37.799202127659574468,752,5,28425.00,741,98.54,0.00,0.00
28-August-2020,42.00,42.00,42.00,42.00,42.000000000000000000,80,1,3360.00,80,100.00,0.00,0.00
27-August-2020,34.75,42.35,34.75,42.35,34.943089430894308943,984,5,34384.00,529,53.76,7.60,7.60
19-August-2020,42.90,42.90,35.10,38.60,38.709090909090909090,110,5,4258.00,99,90.00,7.80,-4.30
14-August-2020,39.00,39.00,39.00,39.00,39.000000000000000000,39,2,1521.00,39,100.00,0.00,0.00
12-August-2020,35.50,35.50,35.50,35.50,35.480000000000000000,25,1,887.00,25,100.00,0.00,0.00
31-July-2020,32.50,32.50,32.50,32.50,32.500000000000000000,510,2,16575.00,510,100.00,0.00,0.00
24-July-2020,33.00,33.00,32.90,32.90,32.902777777777777777,216,2,7107.00,206,95.37,0.10,-0.10
23-July-2020,31.45,31.45,31.45,31.45,31.000000000000000000,1,1,31.00,1,100.00,0.00,0.00
21-July-2020,33.25,33.25,33.00,33.10,33.130967741935483870,1550,9,51353.00,545,35.16,0.25,-0.15
20-July-2020,32.25,34.10,30.95,33.30,32.989963973237261966,3886,387,128199.00,1251,32.19,3.15,1.05
17-July-2020,30.30,32.55,30.25,32.55,31.329092451229855810,3537,66,110811.00,858,24.26,2.30,2.25
10-July-2020,31.00,31.00,31.00,31.00,31.000000000000000000,9,1,279.00,9,100.00,0.00,0.00
7-July-2020,31.95,31.95,31.95,31.95,31.937500000000000000,32,1,1022.00,32,100.00,0.00,0.00
10-June-2020,32.10,32.10,32.10,32.10,32.062500000000000000,16,1,513.00,16,100.00,0.00,0.00
3-June-2020,33.75,33.75,33.75,33.75,33.750000000000000000,100,1,3375.00,100,100.00,0.00,0.00
30-April-2020,33.75,33.75,33.75,33.75,33.600000000000000000,5,1,168.00,5,100.00,0.00,0.00
20-April-2020,31.00,32.55,31.00,32.55,31.428571428571428571,28,4,880.00,25,89.29,1.55,1.55
13-April-2020,32.60,32.60,32.60,32.60,32.333333333333333333,3,1,97.00,3,100.00,0.00,0.00
16-March-2020,32.60,32.60,32.60,32.60,32.000000000000000000,1,1,32.00,1,100.00,0.00,0.00
2-March-2020,31.00,32.60,31.00,32.60,31.300000000000000000,10,2,313.00,10,100.00,1.60,1.60
29-January-2020,32.60,32.60,32.60,32.60,32.600000000000000000,10,1,326.00,10,100.00,0.00,0.00
17-January-2020,34.30,34.30,34.30,34.30,34.000000000000000000,2,2,68.00,2,100.00,0.00,0.00
14-January-2020,36.10,36.10,36.10,36.10,36.100000000000000000,30,3,1083.00,30,100.00,0.00,0.00
