Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,7.54,7.54,7.54,7.54,7.539831528279181708,4155,29,31328.00,4155,100.00,0.00,0.00
4-January-2021,7.69,7.69,7.69,7.69,7.689655172413793103,232,12,1784.00,232,100.00,0.00,0.00
1-January-2021,7.84,7.84,7.84,7.84,7.838449111470113085,619,12,4852.00,619,100.00,0.00,0.00
31-December-2020,8.00,8.00,8.00,8.00,8.000000000000000000,2982,11,23856.00,2982,100.00,0.00,0.00
30-December-2020,8.15,8.15,8.15,8.15,8.149706457925636007,3066,6,24987.00,3066,100.00,0.00,0.00
29-December-2020,8.30,8.30,8.30,8.30,8.299887682515911643,2671,8,22169.00,2671,100.00,0.00,0.00
28-December-2020,8.45,8.45,8.45,8.45,8.449466415568110483,1593,12,13460.00,1593,100.00,0.00,0.00
24-December-2020,8.60,8.60,8.60,8.60,8.599857346647646219,1402,9,12057.00,1402,100.00,0.00,0.00
23-December-2020,8.75,8.75,8.75,8.75,8.749745676500508646,983,9,8601.00,983,100.00,0.00,0.00
22-December-2020,8.90,8.90,8.90,8.90,8.899182561307901907,1101,4,9798.00,1101,100.00,0.00,0.00
21-December-2020,9.05,9.05,9.05,9.05,9.046783625730994152,171,4,1547.00,171,100.00,0.00,0.00
18-December-2020,9.20,9.20,9.20,9.20,9.200000000000000000,3290,16,30268.00,3290,100.00,0.00,0.00
17-December-2020,9.35,9.35,9.35,9.35,9.349824449409511650,3133,12,29293.00,3133,100.00,0.00,0.00
16-December-2020,9.50,9.50,9.50,9.50,9.500000000000000000,5732,14,54454.00,5732,100.00,0.00,0.00
15-December-2020,9.65,9.65,9.65,9.65,9.649474689589302769,1047,11,10103.00,1047,100.00,0.00,0.00
14-December-2020,9.80,9.80,9.80,9.80,9.799937235211046602,6373,19,62455.00,6373,100.00,0.00,0.00
11-December-2020,10.00,10.00,10.00,10.00,10.000000000000000000,2456,33,24560.00,2456,100.00,0.00,0.00
10-December-2020,10.20,10.20,10.20,10.20,10.199341021416803953,607,12,6191.00,607,100.00,0.00,0.00
9-December-2020,10.40,10.40,10.40,10.40,10.400000000000000000,1235,8,12844.00,1235,100.00,0.00,0.00
8-December-2020,10.60,10.60,10.60,10.60,10.599881093935790725,1682,15,17829.00,1682,100.00,0.00,0.00
7-December-2020,10.80,10.80,10.80,10.80,10.799554565701559020,898,11,9698.00,898,100.00,0.00,0.00
4-December-2020,11.00,11.00,11.00,11.00,11.000000000000000000,254,7,2794.00,254,100.00,0.00,0.00
3-December-2020,11.20,11.20,11.20,11.20,11.200000000000000000,1370,7,15344.00,1370,100.00,0.00,0.00
2-December-2020,11.40,11.40,11.40,11.40,11.400000000000000000,1645,12,18753.00,1645,100.00,0.00,0.00
1-December-2020,11.60,11.60,11.60,11.60,11.599386032233307751,1303,8,15114.00,1303,100.00,0.00,0.00
27-November-2020,11.80,11.80,11.80,11.80,11.798434442270058708,511,6,6029.00,511,100.00,0.00,0.00
26-November-2020,12.00,12.00,12.00,12.00,12.000000000000000000,1086,4,13032.00,1086,100.00,0.00,0.00
25-November-2020,12.20,12.20,12.20,12.20,12.200000000000000000,600,9,7320.00,600,100.00,0.00,0.00
24-November-2020,12.40,12.40,12.40,12.40,12.396946564885496183,262,6,3248.00,262,100.00,0.00,0.00
23-November-2020,12.65,12.65,12.65,12.65,12.649699213327163350,2161,14,27336.00,2161,100.00,0.00,0.00
20-November-2020,12.90,12.90,12.90,12.90,12.899789346975624435,3323,8,42866.00,3323,100.00,0.00,0.00
19-November-2020,13.15,13.15,13.15,13.15,13.146825396825396825,252,4,3313.00,252,100.00,0.00,0.00
18-November-2020,13.40,13.40,13.40,13.40,13.399253731343283582,804,7,10773.00,804,100.00,0.00,0.00
17-November-2020,13.65,13.65,13.65,13.65,13.649500384319754035,1301,12,17758.00,1301,100.00,0.00,0.00
14-November-2020,13.90,13.90,13.90,13.90,13.900000000000000000,310,3,4309.00,310,100.00,0.00,0.00
13-November-2020,14.15,14.15,14.15,14.15,14.147727272727272727,176,5,2490.00,176,100.00,0.00,0.00
12-November-2020,14.40,14.40,14.40,14.40,14.400000000000000000,20,1,288.00,20,100.00,0.00,0.00
11-November-2020,14.65,14.65,14.65,14.65,14.646766169154228855,201,4,2944.00,201,100.00,0.00,0.00
10-November-2020,14.90,14.90,14.90,14.90,14.895734597156398104,211,4,3143.00,211,100.00,0.00,0.00
9-November-2020,15.20,15.20,15.20,15.20,15.197640117994100294,339,3,5152.00,339,100.00,0.00,0.00
6-November-2020,15.50,15.50,15.50,15.50,15.500000000000000000,632,5,9796.00,632,100.00,0.00,0.00
5-November-2020,15.80,15.80,15.80,15.80,15.800000000000000000,220,5,3476.00,220,100.00,0.00,0.00
4-November-2020,16.10,16.10,16.10,16.10,16.094827586206896551,116,4,1867.00,116,100.00,0.00,0.00
3-November-2020,16.40,16.40,16.40,16.40,16.397129186602870813,209,7,3427.00,209,100.00,0.00,0.00
2-November-2020,16.70,16.70,16.70,16.70,16.699001426533523537,701,4,11706.00,701,100.00,0.00,0.00
30-October-2020,17.00,17.00,17.00,17.00,17.000000000000000000,420,5,7140.00,420,100.00,0.00,0.00
29-October-2020,17.30,17.30,17.30,17.30,17.295774647887323943,142,6,2456.00,142,100.00,0.00,0.00
28-October-2020,17.65,17.65,17.65,17.65,17.646551724137931034,232,5,4094.00,232,100.00,0.00,0.00
27-October-2020,18.00,18.00,18.00,18.00,18.000000000000000000,1010,3,18180.00,1010,100.00,0.00,0.00
26-October-2020,18.35,18.35,18.35,18.35,18.349514563106796116,515,9,9450.00,515,100.00,0.00,0.00
23-October-2020,18.70,18.70,18.70,18.70,18.699551569506726457,223,7,4170.00,223,100.00,0.00,0.00
22-October-2020,19.05,19.05,19.05,19.05,19.042553191489361702,47,5,895.00,47,100.00,0.00,0.00
21-October-2020,19.40,19.40,19.40,19.40,19.400000000000000000,65,8,1261.00,65,100.00,0.00,0.00
20-October-2020,19.75,19.75,19.75,19.75,19.749596122778675282,619,8,12225.00,619,100.00,0.00,0.00
19-October-2020,20.15,20.15,20.15,20.15,20.149076517150395778,758,9,15273.00,758,100.00,0.00,0.00
16-October-2020,20.55,20.55,20.55,20.55,20.549060542797494780,479,15,9843.00,479,100.00,0.00,0.00
15-October-2020,21.60,21.60,21.60,21.60,21.599078341013824884,217,9,4687.00,217,100.00,0.00,0.00
14-October-2020,22.70,22.70,22.70,22.70,22.698717948717948717,312,8,7082.00,312,100.00,0.00,0.00
13-October-2020,23.85,23.85,23.85,23.85,23.849424269264836138,1129,7,26926.00,1129,100.00,0.00,0.00
12-October-2020,25.10,25.10,25.10,25.10,25.094827586206896551,116,4,2911.00,116,100.00,0.00,0.00
9-October-2020,26.40,26.40,26.40,26.40,26.399449035812672176,726,19,19166.00,726,100.00,0.00,0.00
8-October-2020,27.75,27.75,27.75,27.75,27.747211895910780669,269,10,7464.00,269,100.00,0.00,0.00
7-October-2020,29.20,29.20,29.20,29.20,29.196506550218340611,229,16,6686.00,229,100.00,0.00,0.00
6-October-2020,30.70,30.70,30.70,30.70,30.699672667757774140,1222,11,37515.00,1222,100.00,0.00,0.00
5-October-2020,32.30,32.30,32.30,32.30,32.300000000000000000,1350,12,43605.00,1350,100.00,0.00,0.00
1-October-2020,34.00,34.00,34.00,34.00,34.000000000000000000,1410,19,47940.00,1410,100.00,0.00,0.00
30-September-2020,35.75,35.75,35.75,35.75,35.750000000000000000,896,22,32032.00,896,100.00,0.00,0.00
29-September-2020,37.60,37.60,37.60,37.60,37.599848139711465451,5268,38,198076.00,5268,100.00,0.00,0.00
28-September-2020,40.00,40.00,39.55,39.55,39.689500795598586801,37079,192,1471647.00,37079,100.00,0.45,-0.45
25-September-2020,41.60,41.60,41.55,41.60,41.599802304456568081,368243,1356,15318836.00,368243,100.00,0.05,0.00
24-September-2020,39.65,39.65,39.50,39.65,39.647958417961519605,399788,1546,15850778.00,399788,100.00,0.15,0.00
23-September-2020,37.80,37.80,37.20,37.80,37.791988935790881203,457692,1339,17297091.00,457692,100.00,0.60,0.00
22-September-2020,35.70,36.00,35.70,36.00,35.915986557849255880,2083,3,74813.00,2083,100.00,0.30,0.30
21-September-2020,35.50,35.70,35.50,35.70,35.638888888888888888,2160,7,76980.00,2160,100.00,0.20,0.20
18-September-2020,35.50,35.50,35.25,35.35,35.342804200123533045,1619,8,57220.00,1619,100.00,0.25,-0.15
17-September-2020,37.05,37.05,35.50,35.50,35.514925373134328358,2010,5,71385.00,2010,100.00,1.55,-1.55
16-September-2020,35.50,37.25,35.30,35.30,35.313554028732042473,1601,8,56537.00,1601,100.00,1.95,-0.20
15-September-2020,35.50,37.00,35.50,35.50,35.576358930112165660,1159,6,41233.00,1159,100.00,1.50,0.00
