Company1,Company2,Value
1,1,0.9999999999999998
1,2,0.052510298322378704
1,3,0.42429368863053757
1,4,0.6360810305311992
1,5,0.716315949493445
1,6,-0.7598531174701292
1,7,-0.0906504242091696
1,8,-0.062066546946402304
1,9,-0.6659245139948218
1,10,-0.52948173780229
1,11,-0.3040843275221843
1,12,-0.2804460760298782
1,13,0.4501035211063098
1,14,-0.19924326601125078
1,15,0.7279981018202033
1,16,0.26132559252279935
1,17,-0.7123926528788388
1,18,-0.04699077959083
1,19,-0.5811358343417214
1,20,-0.6413864700733823
1,21,-0.6759613543436704
1,22,0.2801912161518053
1,23,-0.3480054716049519
1,24,-0.2333075938550521
1,25,0.7645367287941446
1,26,-0.3462073447481948
1,27,-0.650243788015674
1,28,0.058069584185102344
1,29,-0.3021285084781727
1,30,-0.5433748799560875
2,1,0.05251029832237871
2,2,1.0
2,3,0.07004369398563774
2,4,0.21653971311515738
2,5,0.2084183623584987
2,6,-0.34380459453745366
2,7,0.0007719441171207827
2,8,0.33680869225032806
2,9,0.293256412620001
2,10,0.502139079859866
2,11,0.4263960099065121
2,12,0.35458484627056897
2,13,0.21714623848801043
2,14,0.37393536584119597
2,15,0.2572988095221746
2,16,0.2191443369281204
2,17,-0.04836435774802442
2,18,-0.06974432144206175
2,19,0.19357573408043038
2,20,0.19886648647278227
2,21,0.2939566596366417
2,22,0.44030985751767615
2,23,-0.04969368124285474
2,24,-0.13090780771095592
2,25,0.18874573386720936
2,26,0.5331143330007844
2,27,-0.07318104454287187
2,28,0.34182898628155095
2,29,0.4738739784611346
2,30,0.5313221500262829
3,1,0.4242936886305376
3,2,0.07004369398563774
3,3,1.0
3,4,0.08375857416644882
3,5,0.7767427240287634
3,6,-0.26898368379690896
3,7,0.6598404720344598
3,8,0.6763748320607114
3,9,-0.696024024327787
3,10,-0.6230746621082269
3,11,-0.37841810582552254
3,12,-0.3511989761374497
3,13,0.776492611391219
3,14,-0.2888300432426003
3,15,0.7915013212781868
3,16,0.732853008543131
3,17,-0.6016982907076227
3,18,0.6629310437254441
3,19,-0.5740661416094621
3,20,-0.6446288383987311
3,21,-0.7405958925515208
3,22,0.45550229663995284
3,23,0.31616139143192334
3,24,0.455058635508467
3,25,0.6367882525448005
3,26,-0.43261759917870357
3,27,-0.601180179386216
3,28,0.7421992560848452
3,29,-0.3736603714182809
3,30,-0.6395842693191153
4,1,0.6360810305311992
4,2,0.2165397131151574
4,3,0.08375857416644882
4,4,0.9999999999999999
4,5,0.3759474808612224
4,6,-0.5511005666687123
4,7,-0.22560711416055618
4,8,-0.2278974197926697
4,9,-0.37926115805903876
4,10,-0.24580360946517693
4,11,0.1911147195183199
4,12,0.23386141012456496
4,13,0.18763069374387067
4,14,-0.1034218317282062
4,15,0.49916820010122115
4,16,0.09185845148644936
4,17,-0.5857984174655877
4,18,-0.18992189733766787
4,19,-0.32297687314683815
4,20,-0.44834635247807253
4,21,-0.2438003277738122
4,22,0.11100567919715702
4,23,-0.4856095021074948
4,24,-0.40720668334907284
4,25,0.34906022587679325
4,26,0.162565426314712
4,27,-0.5358101908488405
4,28,-0.09317620815616423
4,29,0.10309665372322498
4,30,-0.10815763095867183
5,1,0.716315949493445
5,2,0.20841836235849873
5,3,0.7767427240287635
5,4,0.3759474808612224
5,5,1.0
5,6,-0.5741755186433729
5,7,0.3246977707465929
5,8,0.4895123262673212
5,9,-0.6747320204509191
5,10,-0.6010738693411192
5,11,-0.2983007931523905
5,12,-0.2708505308632445
5,13,0.6876490611030033
5,14,-0.2956429190142821
5,15,0.8820831870143635
5,16,0.6236646422517103
5,17,-0.6562933478284947
5,18,0.3733712311674525
5,19,-0.4735434410233073
5,20,-0.6033793826400965
5,21,-0.7249539386191034
5,22,0.5780955464215264
5,23,0.0859967957054439
5,24,0.1675600702883952
5,25,0.7897674767561556
5,26,-0.32638262520320616
5,27,-0.6330912590765371
5,28,0.5456805991753707
5,29,-0.29604003109678023
5,30,-0.6115986833148565
6,1,-0.7598531174701292
6,2,-0.3438045945374537
6,3,-0.268983683796909
6,4,-0.5511005666687123
6,5,-0.5741755186433729
6,6,1.0
6,7,0.3055260432096811
6,8,-0.06333490386930467
6,9,0.2783795076650986
6,10,0.16301385394546236
6,11,0.06400546868867456
6,12,0.05801992405229779
6,13,-0.33822756374369534
6,14,0.08370356768739046
6,15,-0.5998222139356228
6,16,-0.03013062864727575
6,17,0.5542749747185531
6,18,0.1571451191855488
6,19,0.25351965434783025
6,20,0.28321471136850046
6,21,0.4206490042065874
6,22,-0.2946625381289928
6,23,0.5503191081306217
6,24,0.43103608727800136
6,25,-0.6377862413300955
6,26,0.09159776082178778
6,27,0.35726472499122697
6,28,0.016496026670816656
6,29,0.0759877644444848
6,30,0.12289664192569712
7,1,-0.09065042420916959
7,2,0.0007719441171207827
7,3,0.6598404720344598
7,4,-0.2256071141605562
7,5,0.3246977707465929
7,6,0.305526043209681
7,7,0.9999999999999999
7,8,0.5716938279467608
7,9,-0.4546428961089458
7,10,-0.37282486446813584
7,11,-0.20023648184547788
7,12,-0.18201605077924773
7,13,0.5182473490580503
7,14,-0.16350815435469795
7,15,0.3809755993090434
7,16,0.6825844855656841
7,17,-0.3090048461905126
7,18,0.5467293517587963
7,19,-0.35921561048491807
7,20,-0.4311653440706765
7,21,-0.3258997281587899
7,22,0.4027302671908684
7,23,0.7700308232355563
7,24,0.7720990517715521
7,25,0.23187341697261699
7,26,-0.23041852461897994
7,27,-0.3425526243970658
7,28,0.766979953214819
7,29,-0.1998844781168983
7,30,-0.3549309257449243
8,1,-0.06206654694640231
8,2,0.33680869225032806
8,3,0.6763748320607113
8,4,-0.2278974197926697
8,5,0.4895123262673212
8,6,-0.06333490386930467
8,7,0.5716938279467607
8,8,1.0
8,9,-0.22949434793965884
8,10,-0.18029215921468084
8,11,-0.04559029725350076
8,12,-0.04291023789535564
8,13,0.5942138848017924
8,14,-0.06513252834616517
8,15,0.46544388051836866
8,16,0.6424425930457647
8,17,-0.2667930345050393
8,18,0.711277578010887
8,19,-0.21609260733781774
